Historical Period,Time/Century,Edition_ID,URL,Scholarly,Digital,Edition,Prototype,Language,Writing support,Begin date,End date,Manager,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML-TEI available to download,Images,Zoom images,"Image manipulation (brightness, saturation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile compatibility/application,Print-friendly view,Print facsimile (complementary output),Manuscript(s') repository,Manuscript place of origin,Sponsor/Funding body,Budget (rough),Infrastructure,CDROM: Easy to access?,CDROM: Cost
Long Nineteenth Century,19th,Mark Twain Project,http://www.marktwainproject.org/homepage.html,1,0,1,1,ENG,Manuscript,no information provided,no information provided,Anh Q. Bui; Victor Fischer; et al.,"California Digital Library; University of California Press, Mark Twain Papers",no information provided,no information provided,no information provided,no information provided,1,no information provided,1,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,1,1,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,1497-1499,Niccolò Canussio: De restitutione patriae,http://www.fondazionecanussio.org/patria.htm,1,1,1,0,LAT,Manuscript,no information provided,no information provided,no information provided,Fondazione Niccolò Canussio,no information provided,no information provided,no information provided,"0,5",0,no information provided,1,1,0,0,ITA,ITA,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,1225-1230,Queste del Saint Graal,http://textometrie.risc.cnrs.fr/txm/texte/intro,1,no information provided,1,1,FRM,Manuscript,no information provided,no information provided,no information provided,École Normale Supérieure de Lyon,no information provided,no information provided,no information provided,no information provided,1,no information provided,1,no information provided,0,0,FRE,FRE,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Bibliothèque municipale de Lyon,no information provided,no information provided,no information provided,TXM,N/A,N/A
Middle Ages,1331-1340,The Auchinleck manuscript,http://auchinleck.nls.uk/index.html,no information provided,no information provided,1,0,ENM,Manuscript,2000,2003,David Burnley; Alison Wiggins,National Library of Scotland,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,0,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,National Library of Scotland,no information provided,"Professor David Burnley, Department of English Language and Linguistics, University of Sheffield, in September 2000",no information provided,no information provided,N/A,N/A
Middle Ages; Early Modern,1596-1634,The Casebooks Project,http://www.magicandmedicine.hps.cam.ac.uk/,no information provided,0,no information provided,no information provided,"ENG, LAT",Manuscript,no information provided,no information provided,Lauren Kassell,University of Cambridge,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Antiquity,no information provided,The Confessions of Augustine: An Electronic Edition,http://www.stoa.org/hippo/,1,no information provided,1,0,LAT,Codex,1999,no information provided,James J. O'Donnell,University of Kentucky,no information provided,no information provided,no information provided,"0,5",0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Stoa Consortium,no information provided,no information provided,N/A,N/A
Antiquity,340 - 320 BC,The Derveni Papyrus,http://chs.harvard.edu/CHS/article/display/5418,no information provided,no information provided,no information provided,no information provided,GRC,Papyrus,no information provided,no information provided,Ioanna Papadopoulou,"Center for Hellenic Studies, Harvard University; Casa Leo S. Olschki, Firenze; Universita degli Studi di Genova; Aristotle University of Thessaloniki; Archaeological Museum of Thessaloniki",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,1,no information provided,Archaeological Museum Thessaloniki,Derveni (north of Thessaloniki),no information provided,no information provided,no information provided,N/A,N/A
Antiquity,no information provided,The Gospel according to St. John,http://www.iohannes.com/,no information provided,no information provided,no information provided,no information provided,"GRC, LAT",Codex,2007,2010,no information provided,University of Birmingham,no information provided,no information provided,no information provided,1,no information provided,no information provided,1,1,0,0,0,ENG,1,no information provided,no information provided,no information provided,0,1,no information provided,0,1,no information provided,no information provided,no information provided,no information provided,1,no information provided,40+ in European libraries,no information provided,"AHRC; British Academy; International Greek New Testament Project; United Bible Societies, University of Birmingham (Institute for Textual Scholarship and Electronic Editing)",no information provided,no information provided,N/A,N/A
Early Modern; Long Nineteenth Century,1674-1913,The Proceedings of the Old Bailey,http://www.oldbaileyonline.org/,no information provided,no information provided,no information provided,no information provided,ENG,Manuscript,no information provided,no information provided,Clive Emsley; Tim Hitchcock; Robert Shoemaker,University of Sheffield,no information provided,no information provided,no information provided,no information provided,"0,5",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,1,1,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Early Modern,1590-1652,The Richard Brome Project,http://www.hrionline.ac.uk/brome/,no information provided,no information provided,1,0,ENG,Manuscript,no information provided,no information provided,Richard Cave,"Royal Holloway, University of Sheffield",no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,1,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,AHRC,no information provided,"JavaScript, Adobe Flash",N/A,N/A
Long Nineteenth Century,19th,The Svoboda Diary Project,http://courses.washington.edu/otap/svoboda/public/index.html,no information provided,no information provided,no information provided,no information provided,ARA,Manuscript,no information provided,no information provided,Mehmet Kalpakli; Walter G. Andrews,University of Washington,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Long Nineteenth Century,1788-1836,William Godwin's Diary,http://godwindiary.bodleian.ox.ac.uk/index2.html,1,1,1,0,ENG,Manuscript,no information provided,no information provided,David O’Shaughnessy; Mark Philp; Victoria Myers,Bodleian Library,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,1232-1316,The Augsburg Web Edition of Llull's Electoral Writings,http://www.math.uni-augsburg.de/stochastik/llull/,no information provided,1,no information provided,no information provided,LAT,Manuscript,no information provided,no information provided,Gerlinde Wolsleben ,University of Augsburg ,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,GER; FRE,GER; ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Biblioteca Apostolica Vaticana; Bayerische Staatsbibliothek; Universitat de Barcelona; Sankt Nikolaus-Hospital / Cusanusstift,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Antiquity,200AD,Digital Mishnah,http://www.digitalmishnah.org/,1,1,1,1,HEB,no information provided,forthcoming,no information provided,Hayim Lapin ,Maryland Institute of Technology in the Humanities (MITH),no information provided,"0,5",1,no information provided,1,no information provided,0,0,0,0,0,ENG,no information provided,no information provided,1,no information provided,1,"1,5",0,0,no information provided,"0,5",0,no information provided,no information provided,1,0,Various,N/A,Maryland Institute of Technology in the Humanities (MITH); Amazon Web Services,no information provided,no information provided,N/A,N/A
Antiquity,600 BC - 900 AD,The Online Critical Pseudepigrapha,http://ocp.tyndale.ca/,no information provided,1,1,1,"ARC, GRC, LAT",no information provided,2004,present,Ian W. Scott,Society of Biblical Literature,no information provided,no information provided,no information provided,no information provided,0,no information provided,0,0,0,0,0,ENG,no information provided,no information provided,0,0,0,"0,5",0,0,1,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,Drupal,N/A,N/A
Antiquity,3rd BC - 1st AD,Dead Sea Scrolls,http://dss.collections.imj.org.il/,1,no information provided,0,no information provided,HEB,Scroll; papyrus,1995,2011,James S. Snyder,Google; The Israel Museum,no information provided,no information provided,no information provided,no information provided,0,no information provided,1,1,0,1,0,ENG,0,0,1,0,0,1,0,0,0,0,no information provided,no information provided,no information provided,0,0,"The Israel Museum, Jerusalem","Qumran, Israel",George Blumenthal and the Center for Online Judaic Studies,no information provided,Google,N/A,N/A
Middle Ages,no information provided,Editions of the Registers of the counts of Holland 1299-1345,http://www.historici.nl/Onderzoek/Projecten/RegistersVanDeHollandseGrafelijkheid1299-1345,no information provided,1,no information provided,no information provided,DUT,no information provided,no information provided,no information provided,Jan Burgers,Huygens ING; Nationaal Archief,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,DUT; ENG,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,"The project received the scientific support of a group of external scolars made up of Ms Prof. dr. Th. de Hemptinne, Prof. P.A. Henderikx, G. van Herwijnen, Prof.P.C.M. Hoppenbrouwers and Prof. J.G. Smit. - See more at: http://www.historici.nl/Onderzoek/Projecten/RegistersVanDeHollandseGrafelijkheid1299-1345/en/colofon#sthash.HhPd6Esd.dpuf",no information provided,no information provided,N/A,N/A
Early Modern,17th,Quijote Interactivo,http://quijote.bne.es/libro.html,0,1,0,0,SPA,Codex,2009,2010,José Manuel Lucía Megías,Biblioteca Nacional de España,General public,0,0,"0,5",0,no information provided,1,1,0,0,0,SPA,0,1,1,0,0,0,0,0,no information provided,0,no information provided,Keyed,0,1,0,Biblioteca Nacional de España,Madrid,Telefonica,no information provided,Adobe Flash Player,N/A,N/A
Long Nineteenth Century,1803-1806,The Journals of the Lewis and Clark Expedition,http://lewisandclarkjournals.unl.edu/index.html,1,1,1,1,ENG,Journal,no information provided,no information provided,Katherine Walter,University of Nebraska,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages; Early Modern,10th-17th,Electronic Boethius CDROM,http://beowulf.engl.uky.edu/~kiernan/eBoethius/inlad.htm,no information provided,no information provided,no information provided,no information provided,ENM,no information provided,2002,2006,Kevin Kiernan,University of Kentucky; British Library; University of Sheffield,no information provided,no information provided,no information provided,no information provided,0,no information provided,1,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,British Library; Bodleian Library,no information provided,"National Endowment for the Humanities, Andrew W. Mellon Foundation",no information provided,CDROM,no information provided,no information provided
Early Modern; Long Nineteenth Century,1773-1836,James Mill's Common Place Books,http://www.intellectualhistory.net/mill/,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,2008,present,Kristopher Grint,University of Sussex; London Library,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,AHRC; the British Academy,no information provided,"MySQL, PHP",N/A,N/A
Middle Ages,13th,A trial electronic edition of the Preface to 'Ancrene Wisse' for the Early English Text Society.,http://tei.oucs.ox.ac.uk/Projects/EETS/,no information provided,1,no information provided,no information provided,ENM,Manuscript,no information provided,no information provided,Lou Burnard,University of Southampton; University of Oxford,no information provided,no information provided,no information provided,no information provided,1,no information provided,1,1,0,0,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,"1,5",no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,trial,no information provided,no information provided,no information provided,AHRC,no information provided,XSLT,N/A,N/A
Antiquity,1898,Digital Nestle-Aland,http://nestlealand.uni-muenster.de/,1,1,1,0,GRC (NT),no information provided,forthcoming,no information provided,Luc Herren,University of Münster Institute for New Testament Textual Research,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,1,0,0,no information provided,no information provided,no information provided,no information provided,no information provided,forthcoming,no information provided,no information provided,no information provided,Deutsche Forschungsgemeinschaft ,no information provided,no information provided,N/A,N/A
Early Modern,1550s,Orlando Furioso Hypertext,http://stel.ub.edu/orlando/,no information provided,1,1,no information provided,ITA,Manuscript,1516,1532,María de las Nieves Muñiz,Universitat de Barcelona,"Scholars; students (higher education) of history of art, literary studies and of the book.",no information provided,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,SPA,no information provided,1,no information provided,1,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Antiquity,29 BC - 19 BC,"The Vergil project. Resources for Students, Teachers, and Readers of Vergil",http://vergil.classics.upenn.edu/,1,1,1,1,"ENG, LAT",no information provided,1995,present,Mary Costigan,University of Pennsylvania,no information provided,1,"0,5",no information provided,no information provided,no information provided,0,0,0,0,no information provided,ENG,no information provided,1,0,0,no information provided,no information provided,0,no information provided,no information provided,"0,5",no information provided,no information provided,no information provided,0,0,0,no information provided,"The National Endowment for the Humanities, The Pew Charitable Trusts, The Edmund J. and Louise W. Kahn Fund for Faculty Excellence, Mr. Joseph B. Glossberg, Department of Classical Studies, The School of Arts and Sciences, and the Center for the Computer Analysis of Texts, University of Pennsylvania",no information provided,no information provided,N/A,N/A
Middle Ages,14th,Cantar de mio Cid,http://www.laits.utexas.edu/cid/index2.php?v=nor,1,0,1,1,SPA,Manuscript,no information provided,no information provided,Matthew Bailey,Biblioteca Nacional de España,General public,1,1,1,0,no information provided,1,0,0,1,0,ENG,no information provided,no information provided,0,0,0,1,0,0,0,1,0,Keyed,0,0,0,Biblioteca Nacional de España,no information provided,Liberal Arts Instructional Technology Services (LAITS) @UT Austin,no information provided,no information provided,N/A,N/A
Middle Ages,1200,The Aberdeen Bestiary,http://www.abdn.ac.uk/bestiary/,1,1,0,0,LAT,no information provided,no information provided,no information provided,Michael Arnott,University of Aberdeen,no information provided,0,0,no information provided,no information provided,no information provided,1,0,0,0,0,ENG,0,0,1,0,0,"0,5",0,0,0,0,0,no information provided,no information provided,0,0,Aberdeen University Library,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Antiquity,86-103 AD,M. Valerii Martialis Epigrammaton Liber IV,http://www.curculio.org/Martial/Martial04.html,1,no information provided,1,0,LAT,no information provided,2005,2007,Michael Hendry,Bowling Green State University,no information provided,no information provided,no information provided,N/A,0,no information provided,0,0,0,0,no information provided,LAT,no information provided,no information provided,no information provided,no information provided,0,no information provided,0,0,no information provided,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,N/A,N/A,no information provided,N/A,N/A
Antiquity,no information provided,P. Ovidii Nasonis Heroides I,http://www.curculio.org/Ovid/h01.html,1,no information provided,no information provided,no information provided,LAT,no information provided,2008,no information provided,Michael Hendry,N/A,no information provided,no information provided,no information provided,N/A,0,no information provided,0,0,0,0,no information provided,LAT,no information provided,no information provided,no information provided,no information provided,0,no information provided,0,0,no information provided,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,N/A,N/A,no information provided,N/A,N/A
Antiquity,no information provided,Sexti Propertii Elegiae,http://www.curculio.org/Propertius/index.html,no information provided,no information provided,no information provided,no information provided,LAT,no information provided,1998,2001,Michael Hendry,N/A,no information provided,no information provided,no information provided,N/A,0,no information provided,0,0,0,0,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,0,0,no information provided,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,N/A,N/A,no information provided,N/A,N/A
Antiquity,no information provided,Sulpiciae Conquestio,http://www.curculio.org/Sulpiciae/index.html,no information provided,0,no information provided,no information provided,LAT,no information provided,no information provided,no information provided,Michael Hendry,N/A,no information provided,no information provided,no information provided,N/A,0,no information provided,0,0,0,0,0,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,0,0,no information provided,no information provided,no information provided,no information provided,no information provided,1,no information provided,Lost,"Monastery of Bobbio, Italy",N/A,N/A,no information provided,N/A,N/A
Antiquity,370-404,Claudii Claudiani Carmina Latina,http://www.curculio.org/Claudian/index.html,1,1,1,0,LAT,no information provided,1998,2004,Michael Hendry ,N/A,no information provided,no information provided,no information provided,N/A,0,no information provided,0,0,0,0,no information provided,ENG,no information provided,1,no information provided,no information provided,0,1,0,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A,no information provided,N/A,N/A
Antiquity,1st-2nd AD,D. Iunii Iuvenalis Saturae,http://www.curculio.org/Juvenal/index.html,1,1,1,no information provided,LAT,no information provided,1998,2001,Michael Hendry ,N/A,no information provided,"0,5",no information provided,N/A,0,no information provided,0,0,0,0,0,LAT,no information provided,no information provided,no information provided,no information provided,0,1,0,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Medical School of Montepellier; various.,no information provided,N/A,N/A,no information provided,N/A,N/A
Middle Ages,8th-12th AD,Codice Diplomatico della Lombardia Medievale,http://cdlm.unipv.it/,1,1,1,1,LAT,Codex,2000,no information provided,Michele Ansani,Università degli Studi di Pavia,no information provided,1,"0,5",no information provided,0,no information provided,0,0,0,0,ITA,ITA,0,0,1,1,0,"0,5",0,0,0,"0,5",0,no information provided,no information provided,0,no information provided,Various,no information provided,"Fondazione Cariplo, Provincia di Sondrio, Centro Internazionale di Ricerca per le Storie Locali e le Diversità Culturali - Università degli Studi dell' Insubria",no information provided,"XHTML, CSS",N/A,N/A
Middle Ages,1343-1400,Geoffrey Chaucer's Book of the Duchess: A Hypertext Edition,http://www.ucalgary.ca/ucpress/online/pubs/duchess/Websample/titlepge.htm,1,no information provided,1,no information provided,ENG,Manuscript,1997,no information provided,Murray McGillivray,University of Calgary,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,$50.00 CAD / $56.95 USD (march 2000)
Antiquity,no information provided,Inscriptiones Graecae in Croatia Repertae (IGCR),http://www.ffzg.unizg.hr/klafil/dokuwiki/doku.php/z:epidoc-hrvatska,no information provided,no information provided,no information provided,no information provided,GRC,Tablets; prisms; cylinders; rock faces; steles; wall; threshold slabs; etc.,no information provided,no information provided,Nino Zubović,University of Zagreb,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,HRV,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Various,Various,Department of Classical Philology of the Faculty of Humanities and Social Sciences at the University of Zagreb,no information provided,no information provided,N/A,N/A
Middle Ages,1317-1468,The Gascon Rolls Project,http://www.gasconrolls.org/index.html,no information provided,no information provided,no information provided,no information provided,LAT,no information provided,2008,present,Paul Spence,King's College London (Department of Digital Humanities); University of Liverpool,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,1,1,1,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,The National Archives at Kew in class C 61,South-western France (Aquitaine),Laboratoire d'excellence LaScArBx; Banque Numérique des Savoirs d'Aquitaine; Chateau Ausone (Saint-Emilion) and Jonathan Sumption,no information provided,no information provided,N/A,N/A
Middle Ages,15th,The Hengwrt Chaucer Digital Facsimile,http://www.sd-editions.com/AnaAdditional/HengwrtEx/images/hgopen.html,no information provided,1,no information provided,no information provided,ENM,Manuscript,no information provided,no information provided,Peter Robinson,University of Birmingham,no information provided,no information provided,no information provided,no information provided,1,no information provided,1,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Long Nineteenth Century,1810-1822,Carl-Maria-von-Weber-Gesamtausgabe,http://www.weber-gesamtausgabe.de/en/Index,1,no information provided,1,1,GER,Manuscript,no information provided,no information provided,Peter Stadler,Akademie der Wissenschaften und der Literatur Mainz,no information provided,1,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,GER; ENG (partial),no information provided,1,no information provided,no information provided,no information provided,1,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,eXist,N/A,N/A
Long Nineteenth Century,1871,Livingstone's 1871 Field Diary,http://livingstone.library.ucla.edu/1871diary/manuscript1.htm,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,Adrian S. Wisnicki,University of California; Indiana University of Pennsylvania; Birkbeck College; Rochester Institute of Technology; Edinburgh Napier University,no information provided,no information provided,no information provided,no information provided,1,no information provided,1,1,0,0,0,ENG,no information provided,no information provided,no information provided,no information provided,1,1,no information provided,0,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,National Endowment for the Humanities; British Academy,no information provided,no information provided,N/A,N/A
Antiquity,no information provided,Hyperdonat,http://hyperdonat.ens-lyon.fr/,no information provided,1,no information provided,no information provided,LAT,no information provided,no information provided,no information provided,Bruno Bureau,"Université Jean Moulin Lyon 3, Université d'Angers, École Normale Supérieure de Lyon, École Nationale Supérieure des Sciences de l'Information et des Bibliothèques, EPITECH",no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,FRE,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Various,Various,Région Rhône-Alpes; ENS de Lyon; Atelier des Humanités Numériques; UMR 5189 (HiSoMA),no information provided,no information provided,N/A,N/A
Antiquity,2nd-12th AD,Inscriptions of Aphrodisias Project,http://insaph.kcl.ac.uk/index.html,1,1,1,1,GRC,Tablets; prisms; cylinders; rock faces; steles; wall; threshold slabs; etc.,2002,2006,Charlotte Roueché,"King's College London (Department of Classics; Department of Digital Humanities), University of Heidelberg, University College London, Ancient World Mapping Center (University of North Carolina)",no information provided,1,"0,5",1,1,no information provided,1,0,0,0,0,ENG,1,1,no information provided,no information provided,1,"1,5",1,0,0,1,1,no information provided,no information provided,1,no information provided,Aphrodisias,"Aphrodisias, Turkey",Leverhulme Trust,"£250,000",xMod (KCL custom),N/A,N/A
Antiquity,1st BC-4th AD,Inscriptions of Roman Cyrenaica,http://ircyr.kcl.ac.uk/,1,1,no information provided,no information provided,"GRC, LAT",Tablets; prisms; cylinders; rock faces; steles; wall; threshold slabs; etc.,2007,2010,Charlotte Roueché,"King's College London (Department of Classics; Department of Digital Humanities), Department of Antiquities (Libya), Ancient World Mapping Center (University of North Carolina), British School at Rome",no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,0,0,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,"Cyrene, Libya",Leverhume Trust,no information provided,xMod (KCL custom),N/A,N/A
Antiquity,1st BC-8th AD,Inscriptions of Roman Tripolitania,http://irt.kcl.ac.uk/irt2009/,1,no information provided,no information provided,no information provided,LAT,Tablets; prisms; cylinders; rock faces; steles; wall; threshold slabs; etc.,2008,no information provided,Charlotte Roueché,"King's College London (Department of Classics; Department of Digital Humanities), British School at Rome",no information provided,1,no information provided,no information provided,1,no information provided,1,0,0,0,0,ENG,0,1,1,1,1,1,1,0,0,0,0,no information provided,no information provided,1,1,N/A,"Tripolitania. (area around Tripoli), Libya",JISC; The Leverhulme Trust; National Endowment for the Humanities,no information provided,xMod (KCL custom),N/A,N/A
Middle Ages,840-912,e-sequence: Digital Edition of the Saint Gall corpus of Sequences by Notker Balbulus,http://www.e-sequence.eu/en/,no information provided,no information provided,no information provided,no information provided,LAT,no information provided,no information provided,no information provided,Christoph Flüeler,University of Fribourg (e-codices Virtual Manuscript Library of Switzerland); Ensemble Ordo Virtutum; Ensemble for Medieval Music; Label Christophorus; Musikwissenschaftliches Institut der Universität Tübingen; Stiftsbibliothek St. Gallen; Südwest-Rundfunk Tübingen,"In particular, musicologists and manuscript researchers; in general, anyone who's interested.",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,GER; ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,1,Abbey of St. Gall,"Abbey of St. Gall, St. Gallen Switzerland","Accentus Foundation, Ernst Goehner Foundation",20000 CHF,"CodeIgniter, HTML5, PHP, MySQL, jQuery e jPlayer",N/A,N/A
Early Modern,1633,Phineas Fletcher's Sylva Poetica ,http://www.philological.bham.ac.uk/sylva/,no information provided,no information provided,no information provided,no information provided,LAT,Manuscript,no information provided,no information provided,Dana Sutton,University of California Irvine,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,none,no information provided,N/A,N/A
Early Modern,no information provided,The Latin Prose and Poetry of Joseph Addison,http://www.philological.bham.ac.uk/Addison/,no information provided,no information provided,no information provided,no information provided,LAT,Manuscript,no information provided,no information provided,Dana Sutton,University of California Irvine,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
